[2026-08-05T10:06:19.149Z] GET https://mj-lernfoerderung.de/ → 200 (226ms, 6897B)
[2026-08-05T10:06:19.386Z] GET https://mj-lernfoerderung.de/style.css → 200 (131ms, 7467B)
[2026-08-05T10:06:19.386Z] GET https://mj-lernfoerderung.de/js/tracking.js → 200 (271ms, 4811B)
[2026-08-05T10:06:19.386Z] GET https://mj-lernfoerderung.de/bild1.jpg → 200 (270ms, 180534B)
[2026-08-05T10:06:19.387Z] GET https://mj-lernfoerderung.de/main.js → 200 (127ms, 1320B)
[2026-08-05T10:06:19.653Z] GET https://mj-lernfoerderung.de/fonts/nunito.woff2 → pending (?ms, ?B)
[2026-08-05T10:06:19.654Z] GET https://mj-lernfoerderung.de/fonts/cormorant-garamond.woff2 → pending (?ms, ?B)
[2026-08-05T10:06:19.667Z] GET https://www.googletagmanager.com/gtag/js?id=AW-18245035082 → pending (?ms, ?B)
[2026-08-05T10:06:19.667Z] GET https://mj-lernfoerderung.de/partials/header.html → pending (?ms, ?B)
[2026-08-05T10:06:19.667Z] GET https://mj-lernfoerderung.de/partials/footer.html → pending (?ms, ?B)
[2026-08-05T10:06:20.607Z] GET https://mj-lernfoerderung.de/logo-white.png → 200 (2ms, 74336B)
[2026-08-05T10:06:20.607Z] GET https://mj-lernfoerderung.de/logo.png → 200 (1ms, 39178B)
[2026-08-05T10:06:20.610Z] POST https://pagead2.googlesyndication.com/ccm/collect?rcb=8&frm=0&apvc=1&tid=AW-18245035082&en=page_view&dl=https%3A%2F%2Fmj-lernfoerderung.de%2F&scrsrc=www.googletagmanager.com&rnd=1566424442.1785924380&navt=n&npa=1&gtm=45be6831za200xec&gcs=G100&gcd=13p3p3p2p5l1&dma_cps=-&dma=1&tag_exp=115938465~115938469~118897920~118897930~119896803&tft=1785924380492&tfd=1347&tids=AW-18245035082&fmt=8 → 200 (39ms, ?B)
[2026-08-05T10:06:34.161Z] GET tel:+4915256352575 → pending (?ms, ?B)
[2026-08-05T10:06:34.468Z] GET https://googleads.g.doubleclick.net/pagead/viewthroughconversion/18245035082/?random=1785924394408&cv=11&fst=1785924394408&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be6831za200xec&gcd=13r3r3r2r5l1&dma_cps=a&dma=1&tag_exp=115938465~115938469~118897920~118897930~119896803&rcb=8&frm=0&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1131833915.1785924394&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.0.1&uaw=0&data=event%3Dgtag.config&ept=9&rfmt=3&fmt=4 → pending (?ms, ?B)
[2026-08-05T10:06:34.468Z] POST https://www.google.com/rmkt/collect/18245035082/?random=1785924394408&cv=11&fst=1785924394408&fmt=8&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be6831za200xec&gcd=13r3r3r2r5l1&dma_cps=a&dma=1&tag_exp=115938465~115938469~118897920~118897930~119896803&rcb=8&frm=0&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1131833915.1785924394&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.0.1&uaw=0&data=event%3Dgtag.config&ept=68&gcp=5 → pending (?ms, ?B)
[2026-08-05T10:06:34.468Z] POST https://www.google.com/ccm/collect?rcb=8&frm=0&apvc=1&auid=1131833915.1785924394&dt=MJ%20Lernf%C3%B6rderung%20%E2%80%93%20Individuelle%20Nachhilfe%20in%20Hannover&tid=AW-18245035082&en=consent_update&dl=https%3A%2F%2Fmj-lernfoerderung.de%2F&scrsrc=www.googletagmanager.com&rnd=1566424442.1785924380&navt=n&npa=0&gcu=1&gtm=45be6831za200xec&gcs=G111&gcd=13r3r3r2r5l1&dma_cps=a&dma=1&tag_exp=115938465~115938469~118897920~118897930~119896803&tft=1785924394422&tfd=15277&tids=AW-18245035082&fmt=8 → pending (?ms, ?B)
[2026-08-05T10:06:34.468Z] POST https://ad.doubleclick.net/ccm/s/collect?auid=1131833915.1785924394&gtm=45be6831za200xec&fmt=8 → pending (?ms, ?B)
[2026-08-05T10:06:34.584Z] GET https://www.googleadservices.com/pagead/conversion/18245035082/?random=1785924394578&cv=11&fst=1785924394578&fmt=7&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6831za200xec&gcs=G111&gcd=13r3r3r2r5l1&dma_cps=a&dma=1&tag_exp=115938465~115938469~118897920~118897930~119896803&u_w=1280&u_h=720&url=https%3A%2F%2Fmj-lernfoerderung.de%2F&rcb=8&label=6IkDCIz2ltwcEMrI9PtD&capi=1&gtm_ee=1&frm=0&tiba=MJ%20Lernf%C3%B6rderung%20%E2%80%93%20Individuelle%20Nachhilfe%20in%20Hannover&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1131833915.1785924394&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.0.1&uaw=0&gcl_ctr=1~0~0~0&data=event%3Dconversion&category=acrcp_v1_512&ept=5 → pending (?ms, ?B)
[2026-08-05T10:06:34.586Z] GET tel:+4915256352575 → pending (?ms, ?B)
[2026-08-05T10:06:34.587Z] GET tel:+4915256352575 → pending (?ms, ?B)
[2026-08-05T10:06:34.640Z] GET https://www.google.com/pagead/1p-user-list/18245035082/?random=1785924394408&cv=11&fst=1785924000000&bg=ffffff&guid=ON&async=1&en=gtag.config&gtm=45be6831za200xec&gcd=13r3r3r2r5l1&dma_cps=a&dma=1&tag_exp=115938465~115938469~118897920~118897930~119896803&rcb=8&frm=0&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=1131833915.1785924394&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.0.1&uaw=0&data=event%3Dgtag.config&ept=9&rfmt=3&fmt=3&is_vtc=1&cid=CAQSWwARCiqB4-bdcspUyupwWp3SLNa0Z3Mw-lPJEMWBdCNh2W-fwe97DT_0enQZcHSdI9SpqS1oO4-TWcNGvyyAS544LboRfq_RAB48ceUEi8ChpmikI5R9InEX620&random=1457276820&rmt_tld=0&ipr=y → 200 (64ms, 119B)
